COMMAND     PID                 USER   FD      TYPE             DEVICE  SIZE/OFF                NODE NAME
python3.1 20957 borjafernandezangulo  txt       REG               1,13   1353776           361691105 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/special/_ufuncs_cxx.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13   1130872           361691109 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/special/_special_ufuncs.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    129672           361691866 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/_batched_linalg.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     70216           361691897 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/_matfuncs_schur_sqrtm.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     53864           361696049 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/sklearn/utils/_heap.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    277776           361691888 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/_cythonized_array_utils.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    105304           361691892 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/_matfuncs_expm.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     96880           361691219 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/_lib/messagestream.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    946368           361690977 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/fft/_pocketfft/pypocketfft.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    856096           361699947 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/torch/lib/libomp.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13     96576           361690731 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/spatial/_voronoi.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     96912           361690730 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/spatial/_hausdorff.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13   1088864           361699951 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/torch/lib/libc10.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13    404752           361690834 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/sparse/_csparsetools.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    104408           361690745 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/spatial/_distance_wrap.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13  28946856           361699944 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/torch/lib/libtorch_python.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13  24272048 1152921500312126058 /System/Library/Extensions/AGXMetalG15X_M1.bundle/Contents/MacOS/AGXMetalG15X_M1
python3.1 20957 borjafernandezangulo  txt       REG               1,13    791104           361675013 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/regex/_regex.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    553648           361691902 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/_fblas.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13  21387176 1152921500312126065 /System/Library/Extensions/AGXMetalG15X_M1.bundle/Contents/Resources/ds.g15s
python3.1 20957 borjafernandezangulo  txt       REG               1,13    144152           361691869 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/_linalg_pythran.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    131520           361691890 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/cython_blas.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     68592           361691763 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_lbfgsb.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    373056           361691916 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/cython_lapack.cpython-312-darwin.so
